Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
POR_Porites_duerdeni									0	0.069892473	0	0.146505376	0	0	0	0.02016129	0	0	0	0.005376344	0	0.698924731	0.024193548	0.014784946	0	0	0.014784946	0.005376344	0							
POR_Porites_evermanni									0.011732229	0.051069703	0	0.011387164	0	0.002760524	0	0.008626639	0.000345066	0	0	0.038302277	0.008971705	0.768461008	0.020358868	0.014147688	0	0.000345066	0.021048999	0.042443064	0							
POR_Porites_furcata	0	0	0	0	0	0	0	0																												
POR_Porites_lichen									0	0.034120735	0	0.047244094	0	0	0	0.006999125	0	0	0	0.00656168	0.001749781	0.789151356	0.028871391	0.010498688	0	0	0.038057743	0.036745407	0							
POR_Porites_lobata									0.002725546	0.055996694	0	0.004722968	0.000137753	0.00040342	0	0.009072035	0.001397211	5.90E-05	0	0.067410534	0.00529366	0.740699196	0.028613317	0.010577481	0.000108235	0.00204662	0.010016629	0.060719662	0							
POR_Porites_lutea									0.003676471	0.125	0	0.007352941	0	0	0	0.003676471	0	0	0	0.007352941	0	0.691176471	0.047794118	0.047794118	0	0	0.058823529	0.007352941	0							
POR_Porites_porites	0.381	0	0	0	0	0	0	0																												
POR_Porites_rus									0.016	0.008	0	0	0	0	0	0.008	0	0	0	0.008	0	0.8	0.136	0.008	0	0	0.016	0	0							
POR_Porites_solida									0.048076923	0.105769231	0	0	0	0	0	0.009615385	0.009615385	0	0	0	0	0.692307692	0.086538462	0.009615385	0	0	0.028846154	0.009615385	0							
SID_Coscinaraea																														0	0.029411765	0	0	0	0	0
SID_Psammocora									0	0.068522484	0	0.096359743	0	0	0	0	0	0	0	0	0	0.824411135	0.004282655	0.006423983	0	0	0	0	0	0.007874016	0.106299213	0.003937008	0.003937008	0	0	0
SID_Psammocora_digitata									0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0							
SID_Psammocora_haimeana									0.009708738	0.009708738	0	0.009708738	0	0	0	0	0	0	0	0	0	0.970873786	0	0	0	0	0	0	0							
SID_Psammocora_nierstraszi									0	0.014925373	0	0	0	0	0	0.014925373	0	0	0	0	0	0.970149254	0	0	0	0	0	0	0							
SID_Siderastrea	0	0	0	0	0	0	0	0																												
SID_Siderastrea_radians	0.261	0.029	0.696	0.087	0	0.029	0	0																												
SID_Siderastrea_siderea	0.267	0.045	1.942	0.006	0	0.041	0	0.006																												
TRC_Trachyphyllia																														0	0	0	0	0	0	0
