Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
FAV_Leptastrea_transversa									0.0	0.018518518518519	0.0	0.055555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.925925925925926	0.0	0.0	0.0	0.0	0.0	0.0	0.0							
FAV_Leptoria																														0.03723404255319149	0.06382978723404255	0.010638297872340425	0.0	0.010638297872340425	0.015957446808510637	0.0
FAV_Manicina_areolata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
FAV_Montastraea	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0																						0.002386634844868735	0.06443914081145585	0.0011933174224343676	0.0	0.0	0.0011933174224343676	0.0
FAV_Montastraea_annularis	0.256	0.0	0.0	0.0	0.0	1.024	0.0	0.512																												
FAV_Montastraea_cavernosa	0.2	0.188	0.025	0.0	0.0	0.325	0.0	0.0																												
FAV_Montastraea_faveolata	0.228	0.046	0.091	0.0	0.0	0.547	0.0	0.319																												
FAV_Montastraea_franksi	0.393	0.098	0.0	0.0	0.0	1.668	0.0	0.196																												
FAV_Moseleya																														0.0	0.02040816326530612	0.0	0.0	0.0	0.0	0.0
FAV_Oulophyllia																														0.0	0.017094017094017096	0.0	0.0	0.0	0.0	0.0
FAV_Platygyra																														0.012297734627831715	0.0511326860841424	0.009708737864077669	0.0	0.0	0.001941747572815534	0.0
FAV_Solenastrea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
FAV_Solenastrea_bournoni	0.348	0.07	0.07	0.0	0.0	0.348	0.0	0.0																												
FAV_Solenastrea_hyades	0.617	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
FUN_Ctenactis																														0.0	0.046875	0.0	0.0	0.0	0.0	0.0
FUN_Cycloseris																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
FUN_Cycloseris_vaughani									0.0	0.005780346820808999	0.0	0.023121387283237003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.971098265895954	0.0	0.0	0.0	0.0	0.0	0.0	0.0							
FUN_Fungia									0.0	0.017834208990076	0.0	0.029509632224167998	0.0	0.0	0.0	0.0011675423234093333	0.0	0.0	0.0	0.0011675423234093333	0.0	0.9474022183304146	0.0	0.0011675423234093333	0.0	0.0	0.0017513134851140002	0.0	0.0	0.02298206278026906	0.09865470852017937	0.003923766816143498	0.0	0.0	0.0005605381165919282	0.0011210762331838565
FUN_Halomitra																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
FUN_Heliofungia																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
FUN_Herpolitha_limax																														0.0	0.06451612903225806	0.0	0.0	0.0	0.0	0.0
FUN_Lithophyllon																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
FUN_Podabacia																														0.0	0.12307692307692308	0.0	0.0	0.0	0.0	0.0
FUN_Polyphyllia																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
