Species,Algal_Infection,Algal_overgrowth,Black_band_disease,Bleaching,Ciliates,Corallophila_huysmansii,Cyanobacteria,Discoloration,Endolithic_fungal_infection,Endolithic_hypermycosis,Gear_entanglement,Growth_anomalies,Macroalgal_overgrowth,No_Disease,Pigmentation_response,Predation,Recently_denuded_skeleton,Swollen_patches,Tissue_Loss,Trematodiasis,White_Syndrome
Porites_lobata,0.002725546339208,0.05599669392213,0,0.00472296838563,0.000137753244581,0.000403420216273,0,0.009072035107398,0.001397211480749,5.90371048203796E-05,0,0.067410534187404,0.005293660398894,0.740699196111423,0.028613316802944,0.010577481280318,0.000108234692171,0.002046619633773,0.010016628784524,0.060719662307761,0
Porites_lutea,0.003676470588235,0.125,0,0.007352941176471,0,0,0,0.003676470588235,0,0,0,0.007352941176471,0,0.691176470588235,0.047794117647059,0.047794117647059,0,0,0.058823529411765,0.007352941176471,0
Porites_monticulosa,0,0.057471264367816,0,0.172413793103448,0,0,0,0,0,0,0,0.045977011494253,0,0.574712643678161,0.103448275862069,0.03448275862069,0,0,0.011494252873563,0,0
Porites_rus,0.016,0.008,0,0,0,0,0,0.008,0,0,0,0.008,0,0.8,0.136,0.008,0,0,0.016,0,0
Porites_solida,0.048076923076923,0.105769230769231,0,0,0,0,0,0.009615384615385,0.009615384615385,0,0,0,0,0.692307692307692,0.086538461538462,0.009615384615385,0,0,0.028846153846154,0.009615384615385,0
Porites_sp.,0,0,0,0.08,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0.12,0,0
Psammocora_digitata,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Psammocora_haimeana,0.009708737864078,0.009708737864078,0,0.009708737864078,0,0,0,0,0,0,0,0,0,0.970873786407767,0,0,0,0,0,0,0
Psammocora_nierstraszi,0,0.014925373134328,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0.970149253731343,0,0,0,0,0,0,0
Psammocora_stellata,0,0.068522483940043,0,0.096359743040685,0,0,0,0,0,0,0,0,0,0.82441113490364,0.004282655246253,0.006423982869379,0,0,0,0,0
Sarcothelia_edmondsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sinularia_densa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sponge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zoanthus/Palythoa_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
