Species,Algal_infection_HICORDIS,Algal_overgrowth_HICORDIS,Black_band_disease_HICORDIS,Bleaching_HICORDIS,Ciliates_HICORDIS,Corallophila_huysmansii_HICORDIS,Cyanobacteria_HICORDIS,Discoloration_HICORDIS,Endolithic_fungal_infection_HICORDIS,Endolithic_hypermycosis_HICORDIS,Gear_entanglement_HICORDIS,Growth_anomalies_HICORDIS,Macroalgal_overgrowth_HICORDIS,No_Disease_HICORDIS,Pigmentation_response_HICORDIS,Predation_HICORDIS,Recently_denuded_skeleton_HICORDIS,Swollen_patches_HICORDIS,Tissue_loss_HICORDIS,Trematodiasis_HICORDIS,White_syndrome_HICORDIS
Pocillopora_capitata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pocillopora_damicornis,0.0,0.003835826620637,0.0,0.14269275028768696,0.0,0.0,0.0,0.002685078634446,0.0,0.0,0.0,0.0,0.0019179133103179999,0.8342922899884921,0.0,0.006520905255081999,0.0,0.0,0.008055235903337,0.0,0.0
Pocillopora_eydouxi,0.0,0.0011600928074249998,0.0,0.014501160092808002,0.0,0.0,0.0,0.000580046403712,0.000580046403712,0.0,0.0,0.0,0.000580046403712,0.978538283062645,0.0,0.0011600928074249998,0.0,0.0,0.002900232018561,0.0,0.0
Pocillopora_ligulata,0.0,0.04249547920434,0.0,0.23236889692585896,0.0,0.0,0.0,0.003616636528029,0.0,0.0,0.0,0.000904159132007,0.003616636528029,0.602169981916817,0.003616636528029,0.09041591320072301,0.0,0.0,0.020795660036166,0.0,0.0
Pocillopora_meandrina,0.000484985652508,0.010346360586833001,0.0,0.009295558339732,0.0010912177181430002,0.0,4.0415471042315e-05,0.0008891403629310001,8.083094208463e-05,0.0,4.0415471042315e-05,0.000202077355212,0.00262700561775,0.9603928383785308,0.000242492826254,0.008366002505759,4.0415471042315e-05,4.0415471042315e-05,0.005577335003839,0.000242492826254,0.0
Pocillopora_molokensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966666666666667,0.0,0.03333333333333299,0.0,0.0,0.0,0.0,0.0
Pocillopora_sp.,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Porites_annae,0.0,0.08264462809917401,0.0,0.008264462809917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909101,0.008264462809917,0.6363636363636359,0.049586776859504,0.03305785123967,0.0,0.008264462809917,0.008264462809917,0.07438016528925599,0.0
Porites_bernardi,0.0,0.0,0.0,0.155963302752294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926606,0.0,0.81651376146789,0.0,0.0,0.0,0.0,0.018348623853211003,0.0,0.0
Porites_brighami,0.001287001287001,0.005148005148005,0.0,0.037323037323037,0.0,0.0,0.0,0.014157014157014,0.0,0.0,0.0,0.122265122265122,0.001287001287001,0.7554697554697549,0.0,0.0,0.0,0.0,0.016731016731017,0.046332046332046,0.0
Porites_compressa,0.0034590303373970006,0.029515168698611,0.0,0.006833002551744001,0.00019846895378500002,8.50581230507514e-05,0.0,0.00150269350723,0.000113410830734,0.0,0.0,0.05324638502977,0.005330309044514,0.819875248086192,0.00640771193649,0.005528777998299,0.0,0.000311879784519,0.016359512333428,0.05120499007655201,2.83527076835838e-05
Porites_duerdeni,0.0,0.06989247311828,0.0,0.146505376344086,0.0,0.0,0.0,0.020161290322581002,0.0,0.0,0.0,0.005376344086022,0.0,0.6989247311827961,0.024193548387097,0.014784946236558998,0.0,0.0,0.014784946236558998,0.005376344086022,0.0
Porites_evermanni,0.011732229123534,0.051069703243615996,0.0,0.011387163561077,0.0,0.0027605244996550004,0.0,0.008626639061422,0.00034506556245699995,0.0,0.0,0.03830227743271201,0.008971704623879,0.768461007591442,0.020358868184955,0.014147688060732,0.0,0.00034506556245699995,0.021048999309868997,0.042443064182195005,0.0
Porites_lichen,0.0,0.034120734908137,0.0,0.047244094488189003,0.0,0.0,0.0,0.006999125109361,0.0,0.0,0.0,0.006561679790025999,0.0017497812773399999,0.78915135608049,0.028871391076116002,0.010498687664041998,0.0,0.0,0.038057742782152,0.036745406824147,0.0
Porites_lobata,0.002725546339208,0.05599669392213,0.0,0.00472296838563,0.000137753244581,0.000403420216273,0.0,0.009072035107398001,0.0013972114807489998,5.90371048203796e-05,0.0,0.06741053418740402,0.005293660398894,0.7406991961114229,0.028613316802944,0.010577481280318001,0.00010823469217100001,0.0020466196337729997,0.010016628784524,0.060719662307761,0.0
Porites_lutea,0.003676470588235,0.125,0.0,0.007352941176471,0.0,0.0,0.0,0.003676470588235,0.0,0.0,0.0,0.007352941176471,0.0,0.691176470588235,0.04779411764705901,0.04779411764705901,0.0,0.0,0.058823529411765,0.007352941176471,0.0
Porites_monticulosa,0.0,0.057471264367815994,0.0,0.172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045977011494253,0.0,0.574712643678161,0.103448275862069,0.03448275862069,0.0,0.0,0.011494252873563,0.0,0.0
Porites_rus,0.016,0.008,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.008,0.0,0.8,0.136,0.008,0.0,0.0,0.016,0.0,0.0
Porites_solida,0.048076923076922996,0.105769230769231,0.0,0.0,0.0,0.0,0.0,0.009615384615385001,0.009615384615385001,0.0,0.0,0.0,0.0,0.6923076923076921,0.08653846153846201,0.009615384615385001,0.0,0.0,0.028846153846154,0.009615384615385001,0.0
Porites_sp.,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
Psammocora_digitata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psammocora_haimeana,0.009708737864078002,0.009708737864078002,0.0,0.009708737864078002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708737864077671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psammocora_nierstraszi,0.0,0.014925373134328,0.0,0.0,0.0,0.0,0.0,0.014925373134328,0.0,0.0,0.0,0.0,0.0,0.970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psammocora_stellata,0.0,0.068522483940043,0.0,0.09635974304068501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82441113490364,0.0042826552462529996,0.006423982869379001,0.0,0.0,0.0,0.0,0.0
Sarcothelia_edmondsoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinularia_densa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sponge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zoanthus/Palythoa_sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
