Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_bbd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.272368611,0.031612961,0.006129091,3.711324142,3.910796929,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.448788187688837,8.259289398,8.583613723,,
perc_bbd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.913457724,0.000314881,-0.025992622,3.868265522,0.0126298878136209 + 2.28757690642052 - -1.63242309357948,"lambda=l,delta=ML,kappa=1",3 -/+ 2.11528974136637,62.46059961,62.78492394,,
perc_bbd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.952848314,9.32E-05,-0.026220112,3.909576588,0.0170439184591847 + 2.13357246503113 - -1.78642753496887,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.151336988379794,14.8737218,15.19804612,Model_3l_AIC,Model_3l_AICc
perc_wd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.800876849,0.001694705,-0.024576487,0.00803020693871579 + 1.991616919871 - -1.928383080129,0.0190102558465939 + 2.31962370653837 - -1.60037629346163,"lambda=1,delta=1,kappa=1",NA,8.432543451,8.756867776,,
perc_wd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.277327266,0.030976615,0.005476,3.887379586,0.00409146442595883 + 1.98499222546083 - -1.93500777453917,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.707007103185465,-48.01888743,-47.69456311,,
perc_wd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.819344306,0.001389874,-0.024889339,0.00727807726830393 + 1.99164718295646 - -1.92835281704354,0.0135616120980266 + 2.10595131641541 - -1.81404868358459,"lambda=l,delta=ML,kappa=1",3 -/+ 2.09054460848463,-1.152375546,-0.828051222,,
perc_wd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.696319344,0.004053495,-0.022155623,0.010499940835417 + 1.98669919801369 - -1.93330080198631,0.0348949296899565 + 2.04401158541104 - -1.87598841458896,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.206263945903137,-43.13509975,-42.81077543,Model_3l_AIC,Model_3l_AICc
perc_wd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.554862306,0.009254079,-0.016818182,0.0416524958319164 + 2.02991393953429 - -1.89008606046571,3.917384842,"lambda=1,delta=1,kappa=1",NA,71.91835419,72.24267851,,
perc_wd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.572292647,0.008466097,-0.017626901,3.885527482,3.906911706,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.523169170619542,9.204141409,9.528465733,,
perc_wd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.576048842,0.008302285,-0.017795024,0.0393757288052611 + 2.02981160963112 - -1.89018839036888,3.914007775,"lambda=l,delta=ML,kappa=1",3 -/+ 2.11020335430713,62.13971922,62.46404354,,
perc_wd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.882103144,0.000586281,-0.02571408,0.00822952400484892 + 2.0151191488656 - -1.9048808511344,0.0149013294084576 + 2.13343768454515 - -1.78656231545485,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.151440969133088,14.85399282,15.17831714,Model_3l_AIC,Model_3l_AICc
perc_dis,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.125714844,0.060599862,0.035878805,3.898315433,0.0590619062676873 + 2.6511286362895 - -1.2688713637105,"lambda=1,delta=1,kappa=1",NA,60.8036065,61.12793083,,
perc_dis,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.390638003,0.01945816,-0.006345572,3.907018937,0.0366538108786407 + 2.04303787546743 - -1.87696212453257,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.860668003576183,47.20048335,47.52480767,,
perc_dis,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.138252719,0.056902536,0.032084182,3.898943809,0.0513668221287293 + 2.25248281283963 - -1.66751718716037,"lambda=l,delta=ML,kappa=1",3 -/+ 1.76816601905319,53.71453466,54.03885899,,
perc_dis,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.064048427,0.087375855,0.06335943,3.895536849,0.0865779567832117 + 2.34298057556353 - -1.57701942443647,"lambda=1,delta=1,kappa=ML",0.39989034518536 -/+ 0.820986124468593,52.29373396,52.61805828,Model_3l_AIC,Model_3l_AICc
perc_dis,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.229326221,0.0377964,0.012475252,3.911678473,0.0286046868374568 + 2.2998834058927 - -1.6201165941073,"lambda=1,delta=1,kappa=1",NA,4.025740015,4.350064339,,
perc_dis,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.58800982,0.007794383,-0.018316291,3.916738836,0.0181089541545533 + 1.99315632108862 - -1.92684367891138,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.788299956827585,-26.24459303,-25.92026871,,
perc_dis,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.245411691,0.035335588,0.009949683,3.912051206,0.0225175280855675 + 2.10170699142861 - -1.81829300857139,"lambda=l,delta=ML,kappa=1",3 -/+ 1.94243417233336,-4.257018959,-3.932694635,,
perc_dis,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.103386574,0.068278889,0.043759912,3.911307131,0.0397934811421236 + 2.09643645479653 - -1.82356354520347,"lambda=1,delta=1,kappa=ML",0.220440039812042 -/+ 0.567761243449828,-18.9540997,-18.62977537,Model_3l_AIC,Model_3l_AICc
perc_bbd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.176641731,0.04751141,0.022445921,0.300163788987986 + 2.17802055030113 - -1.74197944969887,3.886220255,"lambda=1,delta=1,kappa=1",NA,3.619822283,3.944146607,,
perc_bbd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.015134887,0.145561278,0.123076049,0.288385533811894 + 2.07334417446486 - -1.84665582553514,3.897689296,"lambda=ML,delta=1,kappa=1",0.00471332502950647 -/+ 0.697650089303296,-32.14364233,-31.819318,,
perc_bbd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.145137363,0.055023117,0.030155304,0.300801655642706 + 2.16222107806689 - -1.75777892193311,3.876608158,"lambda=l,delta=ML,kappa=1",3 -/+ 1.99410883533262,-5.08181162,-4.757487295,,
perc_bbd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.006658678,0.178218963,0.156593146,0.32490759871643 + 2.07317986509881 - -1.84682013490119,3.908824683,"lambda=1,delta=1,kappa=ML",0.090766283063454 -/+ 0.472915706915005,-23.39772875,-23.07340443,Model_3l_AIC,Model_3l_AICc
perc_bbd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.197739034,0.043269724,0.018092611,0.58950637605014 + 2.40967568470754 - -1.51032431529246,3.837097211,"lambda=1,delta=1,kappa=1",NA,61.534806,61.85913033,,
perc_bbd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.048295073,0.098748062,0.075030906,0.597505628933142 + 2.25282558334383 - -1.66717441665617,3.854847567,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.715397354198184,43.82766423,44.15198855,,
perc_bbd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.164990682,0.050103839,0.025106571,0.599186528412168 + 2.38322645669232 - -1.53677354330768,3.820799353,"lambda=l,delta=ML,kappa=1",3 -/+ 1.83912447582127,54.00185635,54.32618067,,
