strategy,genus,species,full_id
Generalist,Turbinaria,frondens,Turbinaria frondens
Generalist,Turbinaria,heronensis,Turbinaria heronensis
Generalist,Turbinaria,mesenterina,Turbinaria mesenterina
Generalist,Turbinaria,patula,Turbinaria patula
Generalist,Turbinaria,peltata,Turbinaria peltata
Generalist,Turbinaria,radicalis,Turbinaria radicalis
Generalist,Turbinaria,reniformis,Turbinaria reniformis
Generalist,Turbinaria,stellulata,Turbinaria stellulata
Stress-Tolerant,Acanthastrea,echinata,Acanthastrea echinata
Stress-Tolerant,Acanthastrea,hemprichii,Acanthastrea hemprichii
Stress-Tolerant,Acanthastrea,pachysepta,Acanthastrea pachysepta
Stress-Tolerant,Alveopora,allingi,Alveopora allingi
Stress-Tolerant,Alveopora,tizardi,Alveopora tizardi
Stress-Tolerant,Astrea,annuligera,Astrea annuligera
Stress-Tolerant,Astrea,curta,Astrea curta
Stress-Tolerant,Astreopora,cucullata,Astreopora cucullata
Stress-Tolerant,Astreopora,listeri,Astreopora listeri
Stress-Tolerant,Astreopora,myriophthalma,Astreopora myriophthalma
Stress-Tolerant,Astreopora,ocellata,Astreopora ocellata
Stress-Tolerant,Astreopora,randalli,Astreopora randalli
Stress-Tolerant,Astreopora,scabra,Astreopora scabra
Stress-Tolerant,Australogyra,zelli,Australogyra zelli
Stress-Tolerant,Bernardpora,stutchburyi,Bernardpora stutchburyi
Stress-Tolerant,Blastomussa,wellsi,Blastomussa wellsi
Stress-Tolerant,Caulastraea,furcata,Caulastraea furcata
Stress-Tolerant,Coelastrea,aspera,Coelastrea aspera
Stress-Tolerant,Coelastrea,palauensis,Coelastrea palauensis
Stress-Tolerant,Coeloseris,mayeri,Coeloseris mayeri
Stress-Tolerant,Coscinaraea,columna,Coscinaraea columna
Stress-Tolerant,Coscinaraea,exesa,Coscinaraea exesa
Stress-Tolerant,Coscinaraea,monile,Coscinaraea monile
Stress-Tolerant,Ctenactis,albitentaculata,Ctenactis albitentaculata
Stress-Tolerant,Cycloseris,mokai,Cycloseris mokai
Stress-Tolerant,Danafungia,horrida,Danafungia horrida
Stress-Tolerant,Diploastrea,heliopora,Diploastrea heliopora
Stress-Tolerant,Dipsastrea,amicorum,Dipsastrea amicorum
Stress-Tolerant,Dipsastrea,danai,Dipsastrea danai
Stress-Tolerant,Dipsastrea,faviaformis,Dipsastrea faviaformis
Stress-Tolerant,Dipsastrea,favus,Dipsastrea favus
Stress-Tolerant,Dipsastrea,laxa,Dipsastrea laxa
Stress-Tolerant,Dipsastrea,lizardensis,Dipsastrea lizardensis
Stress-Tolerant,Dipsastrea,matthaii,Dipsastrea matthaii
Stress-Tolerant,Dipsastrea,maxima,Dipsastrea maxima
Stress-Tolerant,Dipsastrea,pallida,Dipsastrea pallida
Stress-Tolerant,Dipsastrea,rotumana,Dipsastrea rotumana
Stress-Tolerant,Dipsastrea,rotundata,Dipsastrea rotundata
Stress-Tolerant,Dipsastrea,speciosa,Dipsastrea speciosa
Stress-Tolerant,Dipsastrea,veroni,Dipsastrea veroni
Stress-Tolerant,Dipsastrea,vietnamensis,Dipsastrea vietnamensis
Stress-Tolerant,Echinophyllia,aspera,Echinophyllia aspera
Stress-Tolerant,Echinophyllia,echinata,Echinophyllia echinata
Stress-Tolerant,Echinophyllia,echinoporoides,Echinophyllia echinoporoides
Stress-Tolerant,Echinophyllia,orpheensis,Echinophyllia orpheensis
Stress-Tolerant,Euphyllia,ancora,Euphyllia ancora
Stress-Tolerant,Euphyllia,divisa,Euphyllia divisa
Stress-Tolerant,Euphyllia,glabrescens,Euphyllia glabrescens
Stress-Tolerant,Favites,abdita,Favites abdita
Stress-Tolerant,Favites,chinensis,Favites chinensis
Stress-Tolerant,Favites,complanata,Favites complanata
Stress-Tolerant,Favites,flexuosa,Favites flexuosa
Stress-Tolerant,Favites,halicora,Favites halicora
Stress-Tolerant,Favites,magnistellata,Favites magnistellata
Stress-Tolerant,Favites,pentagona,Favites pentagona
Stress-Tolerant,Favites,valenciennesi,Favites valenciennesi
Stress-Tolerant,Favites,vasta,Favites vasta
Stress-Tolerant,Fungia,fungites,Fungia fungites
Stress-Tolerant,Galaxea,astreata,Galaxea astreata
Stress-Tolerant,Galaxea,fascicularis,Galaxea fascicularis
Stress-Tolerant,Galaxea,horrescens,Galaxea horrescens
Stress-Tolerant,Gardineroseris,planulata,Gardineroseris planulata
Stress-Tolerant,Goniastrea,edwardsi,Goniastrea edwardsi
Stress-Tolerant,Goniastrea,favulus,Goniastrea favulus
Stress-Tolerant,Goniastrea,minuta,Goniastrea minuta
Stress-Tolerant,Goniastrea,pectinata,Goniastrea pectinata
Stress-Tolerant,Goniastrea,retiformis,Goniastrea retiformis
Stress-Tolerant,Goniastrea,stelligera,Goniastrea stelligera
Stress-Tolerant,Goniopora,djiboutiensis,Goniopora djiboutiensis
