Species	Algal_Infection	Algal_overgrowth	Black_band_disease	Bleaching	Ciliates	Corallophila_huysmansii	Cyanobacteria	Discoloration	Endolithic_fungal_infection	Endolithic_hypermycosis	Gear_entanglement	Growth_anomalies	Macroalgal_overgrowth	No_Disease	Pigmentation_response	Predation	Recently_denuded_skeleton	Swollen_patches	Tissue_Loss	Trematodiasis	White_Syndrome
Porites_annae	0.0	0.08264462809917356	0.0	0.008264462809917356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.008264462809917356	0.6363636363636364	0.049586776859504134	0.03305785123966942	0.0	0.008264462809917356	0.008264462809917356	0.0743801652892562	0.0
Porites_bernardi	0.0	0.0	0.0	0.1559633027522936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009174311926605505	0.0	0.8165137614678899	0.0	0.0	0.0	0.0	0.01834862385321101	0.0	0.0
Porites_brighami	0.001287001287001287	0.005148005148005148	0.0	0.03732303732303732	0.0	0.0	0.0	0.014157014157014158	0.0	0.0	0.0	0.12226512226512226	0.001287001287001287	0.7554697554697555	0.0	0.0	0.0	0.0	0.01673101673101673	0.04633204633204633	0.0
Porites_compressa	0.0034590303373972214	0.029515168698610716	0.0	0.006833002551743692	0.00019846895378508649	8.505812305075135e-05	0.0	0.0015026935072299404	0.00011341083073433512	0.0	0.0	0.053246385029770346	0.005330309044513751	0.8198752480861923	0.006407711936489935	0.005528777998298837	0.0	0.0003118797845194216	0.016359512333427844	0.05120499007655231	2.835270768358378e-05
Porites_duerdeni	0.0	0.06989247311827956	0.0	0.14650537634408603	0.0	0.0	0.0	0.020161290322580645	0.0	0.0	0.0	0.005376344086021506	0.0	0.6989247311827957	0.024193548387096774	0.01478494623655914	0.0	0.0	0.01478494623655914	0.005376344086021506	0.0
Porites_evermanni	0.011732229123533472	0.05106970324361629	0.0	0.011387163561076604	0.0	0.0027605244996549345	0.0	0.00862663906142167	0.0003450655624568668	0.0	0.0	0.038302277432712216	0.008971704623878536	0.7684610075914424	0.02035886818495514	0.014147688060731538	0.0	0.0003450655624568668	0.021048999309868876	0.042443064182194616	0.0
Porites_lichen	0.0	0.03412073490813648	0.0	0.047244094488188976	0.0	0.0	0.0	0.00699912510936133	0.0	0.0	0.0	0.006561679790026247	0.0017497812773403325	0.7891513560804899	0.028871391076115485	0.010498687664041995	0.0	0.0	0.03805774278215223	0.03674540682414698	0.0
Porites_lobata	0.002725546339207525	0.05599669392213006	0.0	0.004722968385630369	0.00013775324458088574	0.000403420216272594	0.0	0.009072035107398332	0.001397211480748984	5.903710482037961e-05	0.0	0.06741053418740345	0.005293660398894038	0.7406991961114227	0.028613316802943985	0.010577481280318013	0.00010823469217069594	0.0020466196337731598	0.010016628784524407	0.06071966230776043	0.0
Porites_lutea	0.003676470588235294	0.125	0.0	0.007352941176470588	0.0	0.0	0.0	0.003676470588235294	0.0	0.0	0.0	0.007352941176470588	0.0	0.6911764705882353	0.04779411764705882	0.04779411764705882	0.0	0.0	0.058823529411764705	0.007352941176470588	0.0
Porites_monticulosa	0.0	0.05747126436781609	0.0	0.1724137931034483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04597701149425287	0.0	0.5747126436781609	0.10344827586206896	0.034482758620689655	0.0	0.0	0.011494252873563218	0.0	0.0
