Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_bbd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.498482323,0.010978514,-0.012569617,3.844861799,0.962633807542577 + 2.03763581467986 - -1.88236418532014,"lambda=l,delta=ML,kappa=1",3 -/+ 2.01157141480094,-61.74662154,-61.45393861,,
perc_bbd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.838429417,0.001001265,-0.022784419,3.907343188,0.960877675293046 + 2.02137277469067 - -1.89862722530933,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.229234799131241,-75.23210697,-74.93942404,Model_3l_AIC,Model_3l_AICc
perc_wd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.722925961,0.00302426,-0.020713258,0.00589201944989463 + 1.97650715737595 - -1.94349284262405,0.950052463407825 + 2.14844715510299 - -1.77155284489701,"lambda=1,delta=1,kappa=1",NA,-52.37832735,-52.08564442,,
perc_wd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.535341721,0.00921536,-0.01437475,0.0126532688432285 + 1.98024471047665 - -1.93975528952335,0.93562932613086 + 1.98630411401733 - -1.93369588598267,"lambda=ML,delta=1,kappa=1",0.144269324792711 -/+ 0.688552455827846,-83.67359785,-83.38091493,,
perc_wd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.715814664,0.003188357,-0.020545253,0.00609679976539876 + 1.97663413933016 - -1.94336586066984,0.951617665609994 + 2.0369486589458 - -1.8830513410542,"lambda=l,delta=ML,kappa=1",3 -/+ 2.03565252168223,-61.4014076,-61.10872467,,
perc_wd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.544154064,0.00882504,-0.014774364,0.011985517987093 + 1.9795996802079 - -1.9404003197921,0.957875282328959 + 2.02109916908306 - -1.89890083091694,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.221930699712059,-75.57805453,-75.2853716,Model_3l_AIC,Model_3l_AICc
perc_dis,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.406641555,0.018193087,-0.007643937,1.798485091,115.388277699443 + 124.024176780945 - 120.104176780945,"lambda=1,delta=1,kappa=1",NA,474.4079573,474.7322816,,
perc_dis,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.261551967,0.033051195,0.007605174,2.04362401,111.822158590581 + 41.1448712143 - 37.2248712143,"lambda=ML,delta=1,kappa=1",0.76558220884398 -/+ 0.943564285051769,433.6855376,434.009862,,
perc_dis,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.407148583,0.018154166,-0.007683883,1.838341636,115.486717932889 + 52.6838493309239 - 48.7638493309239,"lambda=l,delta=ML,kappa=1",3 -/+ 1.98638712492104,465.7375246,466.061849,,
perc_dis,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.480635589,0.013175613,-0.01279345,2.746824493,112.173009571224 + 42.7734075194413 - 38.8534075194413,"lambda=1,delta=1,kappa=ML",0.172229562748015 -/+ 0.46133342874975,440.0750627,440.399387,Model_3l_AIC,Model_3l_AICc
