host_genus	n_samples_all	faith_pd_all	observed_features_all	gini_index_all	dominance_all	simpson_e_all	most_abundant_domain_all	most_abundant_phylum_all	most_abundant_class_all	most_abundant_order_all	most_abundant_family_all	most_abundant_genus_all
Pectinia	2	13.310846903518144	20.5	0.8931842105263158	0.5413380000000001	0.19605150414884115	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;__
Hydnophora	20	52.69015156134736	119.35	0.9771878706199463	0.2452242	0.13756079727738674	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
Lobophytum	4	49.34231596191633	97.5	0.9301721068249258	0.139005	0.11955468167959402	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae	D_0__Bacteria;D_1__Cyanobacteria;__;__;__;__
Gardineroseris	8	104.39420022533761	274.625	0.9266240634005763	0.03324075	0.2179147485516254	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales	D_0__Bacteria;D_1__Bacteroidetes;D_2__Chlorobia;D_3__Chlorobiales;D_4__Chlorobiaceae	D_0__Bacteria;D_1__Bacteroidetes;D_2__Chlorobia;D_3__Chlorobiales;D_4__Chlorobiaceae;D_5__Prosthecochloris
Oxypora	1	91.46179700508634	261.0	0.6023524904214559	0.016794000000000003	0.2281420521925135	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae;D_5__Candidatus Nitrosopumilus
Porites	77	63.60202435731195	150.8181818181818	0.9919898548510312	0.23169407792207794	0.1433033587630522	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
Distichopora	1	14.55440753523536	19.0	0.788421052631579	0.3784460000000001	0.13907289004869494	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;__
Aiptasia	2	132.47730543449515	339.5	0.7313727999999999	0.015463	0.23519148391044165	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;__
Psammocora	14	78.01857083929971	210.21428571428572	0.9590855279503107	0.24946371428571426	0.1319175238604505	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
Ctenactis	3	43.61924354411361	73.66666666666667	0.8730000000000001	0.3341773333333333	0.1388551005175875	D_0__Bacteria	D_0__Bacteria;D_1__Bacteroidetes	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Rikenellaceae RC9 gut group
Entacmaea	3											
Xenia	2	25.127500362164092	42.0	0.8296000000000001	0.208351	0.18430020064007827	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
Stylaster	4	45.012479237629144	67.5	0.9550290178571428	0.321803	0.05492838237119191	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Spongiibacteraceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Spongiibacteraceae;D_5__BD1-7 clade
