Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
percent_black_band_disease,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.387658779,0.035735906,-0.010181432,3.865512459,0.163187885869522 + 1.97947526567132 - -1.94052473432868,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.54833379540267,-47.91746741,-47.31746741,,
percent_black_band_disease,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.973592768,5.34E-05,-0.047563068,0.00360887635812447 + 2.06772980373286 - -1.85227019626714,0.162083161790188 + 2.03874268664276 - -1.88125731335724,"lambda=l,delta=ML,kappa=1",3 -/+ 1.66596657234313,-26.3893642,-25.7893642,,
percent_black_band_disease,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.658154873,0.009501439,-0.037665159,3.886193097,0.175582020685599 + 2.04080951689034 - -1.87919048310966,"lambda=1,delta=1,kappa=ML",0.25387996983653 -/+ 0.645140971843524,-33.35071779,-32.75071779,Model_3l_AIC,Model_3l_AICc
percent_white_disease,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.02080125,0.229285431,0.192584737,-37.70503467,118.872119364304 + 89.6038637279982 - 85.6838637279982,"lambda=1,delta=1,kappa=1",NA,265.7777597,266.3777597,,
percent_white_disease,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.754214812,0.00476875,-0.042623215,6.72721726635604 + 23.1673081341702 - 19.2473081341702,89.6666501163485 + 19.3937452398863 - 15.4737452398863,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.730844848844777,257.341807,257.941807,,
percent_white_disease,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.042513655,0.181738079,0.142773226,-33.84810225,118.118416520929 + 43.0383713313459 - 39.1183713313459,"lambda=l,delta=ML,kappa=1",3 -/+ 1.0400151760104,261.8083675,262.4083675,,
percent_white_disease,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.129604496,0.105957116,0.063383645,-25.24401907,113.027420303268 + 60.1089915092033 - 56.1889915092033,"lambda=1,delta=1,kappa=ML",0.466842577672295 -/+ 1.08499136824914,262.876557,263.476557,Model_3l_AIC,Model_3l_AICc
percent_white_disease,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.245979474,0.06352276,0.018928606,0.0271341586220758 + 1.98273477421174 - -1.93726522578826,0.889741108836208 + 2.07964888202845 - -1.84035111797155,"lambda=1,delta=1,kappa=1",NA,-37.66010909,-37.06010909,,
percent_white_disease,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.301497016,0.050723517,0.005519875,0.0244515578671971 + 1.98308280434624 - -1.93691719565376,0.871906105003993 + 1.9789755214499 - -1.9410244785501,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.467696848865109,-56.51679953,-55.91679953,,
percent_white_disease,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.251574343,0.062085526,0.017422932,0.0269814736384398 + 1.98288455419137 - -1.93711544580863,0.886955189631161 + 2.01375476328291 - -1.90624523671709,"lambda=l,delta=ML,kappa=1",3 -/+ 1.55778586204821,-43.57665028,-42.97665028,,
percent_white_disease,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.136469247,0.102467914,0.059728291,0.0373035392075714 + 1.98409192119697 - -1.93590807880303,0.90026759575183 + 2.01814373397869 - -1.90185626602131,"lambda=1,delta=1,kappa=ML",0.147676943224512 -/+ 0.756352696770638,-45.33717157,-44.73717157,Model_3l_AIC,Model_3l_AICc
