Coral Genus,Ocean,Political Area,Site Name,Reef Name,Latitude,Longitude,N
Lobophyllia,Indian,Australia,Ningaloo,Bills Bommie,-23.205,113.7680556,6
Lobophyllia,Indian,"Reunion, France",East Reunion,Boucan Canot,-21.0175,55.238333,3
Lobophyllia,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,3
Lobophyllia,Indian,Saudi Arabia,Farasan Banks,Malathy Island,19.74915,39.90357,3
Lobophyllia,Indian,Saudi Arabia,Farasan Banks,Mar Mar,19.87444,40.08,3
Lobophyllia,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,6
Lobophyllia,Pacific,Australia,Great Barrier Reef - Central Sector,Broadhurst,-18.86528,147.693611,3
Lobophyllia,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,6
Lobophyllia,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Lagoon entrance,-14.689414,145.468137,1
Lobophyllia,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,6
Lobophyllia,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,9
Lobophytum,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,3
Lobophytum,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Big Vickie,-14.68463,145.44175,1
Macrorhynchia,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,1
Merulina,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,5
Merulina,Indian,Singapore,Singapore,Raffles Lighthouse,1.160517,103.740444,1
Millepora,Indian,"Reunion, France",East Reunion,Boucan Canot,-21.0175,55.238333,3
Millepora,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176667,55.285833,3
Millepora,Indian,Saudi Arabia,Farasan Banks,Long,19.89028,39.96056,3
Millepora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,4
Millepora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,6
Mnemiopsis,Indian,Saudi Arabia,AL Lith,KAUST Buoy 0340,20.12378,40.22511,1
Montastraea,Atlantic,Colombia,Cartagena,Varadero,10.303833,-75.584667,9
Montipora,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,7
Montipora,Indian,"Reunion, France",East Reunion,Trou d_Eau,-21.103333,55.243056,2
Montipora,Indian,Saudi Arabia,Farasan Banks,Mar Mar,19.87444,40.08,2
Montipora,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,2
Montipora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,2
Mycedium,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,3
Orbicella,Atlantic,Colombia,Cartagena,Varadero,10.276389,-75.596944,8
Orbicella,Atlantic,Colombia,Cartagena,Varadero,10.3025,-75.585333,13
Oxypora,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,1
Pachyseris,Indian,"Reunion, France",East Reunion,Boucan Canot,-21.0175,55.238333,3
Pachyseris,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,2
Pachyseris,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,2
Pachyseris,Indian,Singapore,Singapore,Raffles Lighthouse,1.160517,103.740444,2
Pachyseris,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,2
Pachyseris,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Lagoon Bommie,-14.687533,145.465467,3
Pachyseris,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,5
Pachyseris,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,6
Palythoa,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,2
Palythoa,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,3
Palythoa,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,3
Palythoa,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,6
Pavona,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,6
Pavona,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176944,55.285833,3
Pavona,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,3
Pavona,Indian,"Reunion, France",East Reunion,Trou d_Eau,-21.103333,55.243056,3
Pavona,Indian,"Reunion, France",East Reunion,Volcano,-21.166944,55.837222,3
Pavona,Indian,Saudi Arabia,Farasan Banks,Malathy Island,19.74915,39.90357,3
Pavona,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,2
Pavona,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,2
Pavona,Pacific,Australia,Great Barrier Reef - Central Sector,Broadhurst,-18.86528,147.693611,3
Pavona,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,3
Pavona,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,9
Pavona,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,6
Pavona,Pacific,Panama,Las Perlas,Isla Contadora,8.6288111,-79.0417556,17
Pavona,Pacific,Panama,Las Perlas,Isla Saboga,8.6274667,-79.0547583,10
Pectinia,Indian,Singapore,Singapore,Raffles Lighthouse,1.160517,103.740444,2
Physogyra,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Lagoon Bommie,-14.687533,145.465467,3
Physogyra,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,6
Physogyra,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,6
Platygyra,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,8
Platygyra,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,3
Platygyra,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,3
Plerogyra,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,3
Plerogyra,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,6
Plerogyra,Indian,Singapore,Singapore,Raffles Lighthouse,1.160517,103.740444,2
Pocillopora,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,8
Pocillopora,Indian,"Reunion, France",East Reunion,Boucan Canot,-21.0175,55.238333,2
Pocillopora,Indian,"Reunion, France",East Reunion,Pass,-21.087222,55.220278,3
