host_genus,total,sum_dis,sum_healthy,sum_bbd,sum_comp,sum_dksp,sum_tissueloss,sum_wbd,sum_wpl,sum_wpx,sum_tissue_dksp,sum_tissue_bbd,sum_unknown,sum_wsynd,sum_growthanom,sum_ciliate,sum_fungal,sum_trematodiasis,sum_seb,sum_brb,sum_atn,percent_sum_dis,percent_sum_healthy,percent_sum_bbd,percent_sum_comp,percent_sum_dksp,percent_sum_tissueloss,percent_sum_wbd,percent_sum_wpl,percent_sum_wpx,percent_sum_tissue_dksp,percent_sum_tissue_bbd,percent_sum_unknown,percent_sum_wsynd,percent_sum_growthanom,percent_sum_ciliate,percent_sum_fungal,percent_sum_trematodiasis,percent_sum_seb,percent_sum_brb,percent_sum_atn
Orbicella,5158,171,4987,5,16,5,32,0,47,0,0,0,51,0,0,0,0,0,0,0,0,3.315238465,96.68476154,0.096936797,0.310197751,0.096936797,0.620395502,0,0.911205894,0,0,0,0.988755332,0,0,0,0,0,0,0,0
Oulophyllia,117,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.29059829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxypora,713,8,676,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1.122019635,94.81065919,0.140252454,0,0,0,0,0,0,0,0,0,0.561009818,0,0,0,0,0.140252454,0.140252454,0
Pachyseris,1423,42,1227,17,0,0,0,0,0,0,0,0,0,8,1,0,0,0,16,0,0,2.951510892,86.2262825,1.194659171,0,0,0,0,0,0,0,0,0,0.562192551,0.070274069,0,0,0,1.124385102,0,0
Palauastrea,43,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.6744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palythoa,4081,15,4066,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367556971,99.63244303,0,0.318549375,0,0.024503798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraclavarina,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paramontastraea,838,2,782,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.238663484,93.31742243,0,0,0,0,0,0,0,0,0,0,0.119331742,0,0,0,0,0.119331742,0,0
Pavona,9246,404,8679,1,269,0,16,0,0,0,0,0,0,4,7,0,0,3,26,1,0,4.369457063,93.86761843,0.010815488,2.909366212,0,0.173047804,0,0,0,0,0,0,0.043261951,0.075708414,0,0,0.032446463,0.281202682,0.010815488,0
Pectinia,962,37,831,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,6,0,0,3.846153846,86.38253638,0,0,0,0,0,0,0,0,0,0,3.222453222,0,0,0,0,0.623700624,0,0
Phyllangia,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physogyra,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platygyra,1545,19,1446,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,1.229773463,93.59223301,0,0,0,0,0,0,0,0,0,0,0.970873786,0,0,0,0,0.194174757,0,0
Plerogyra,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora,34114,1989,31695,7,1672,0,189,0,0,0,0,0,0,11,7,27,0,6,65,2,0,5.830450841,92.90906959,0.020519435,4.901213578,0,0.554024741,0,0,0,0,0,0,0.032244826,0.020519435,0.079146392,0,0.017588087,0.190537609,0.005862696,0
Podabacia,65,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.69230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyphyllia,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites,213572,35275,174893,61,15015,2,1815,0,1,0,0,0,67,251,9027,21,0,8736,106,13,0,16.51667822,81.88947989,0.028561796,7.030415972,0.000936452,0.849830502,0,0.000468226,0,0,0,0.031371154,0.117524769,4.226677654,0.00983275,0,4.090423838,0.049631974,0.00608694,0
Protopalythoa,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
